Flux,min,max,ymin,ymax
Dust,-0.09,0.37,1,2
Rivers - Dissolved Load,0.18,1.38,3,4
Rivers - Particulate Suspended Load,-0.32,0.3,5,6
Hydrothermal Fluids,,,7,8
Benthic Flux,,,9,10
Fe-Mn deposits,-1.5,2.47,11,12
Organic Matter - Upwelling Regions,1.19,1.2,13,14
Organic Matter - Pelagic Regions,,,15,16
Euxinic Sediments,-0.6,-0.3,17,18
Carbonates,,,19,20
