Flux,min,max,ymin,ymax
Dust,-7300000,-7800000,1,2
Rivers - Dissolved Load,-350000000,-370000000,3,4
Rivers - Particulate Suspended Load,,,5,6
Hydrothermal Fluids,-87500000,-92500000,7,8
Benthic Flux,-60000000,-230000000,9,10
Fe-Mn deposits,150000000,1500000000,11,12
Organic Matter - Upwelling Regions,110000000,270000000,13,14
Organic Matter - Pelagic Regions,,,15,16
Euxinic Sediments,9300000,25000000,17,18
Carbonates,3100000,44000000,19,20
Carbonates,150000000,670000000,19,20
